latitude,longitude
40.84,-73.87
41.27,-73.78
41.36,-73.96
41.36,-74.02
40.82,-73.68
40.64,-73.94
40.64,-73.94
40.64,-73.94
40.64,-73.94
40.64,-73.94
40.64,-73.94
40.77,-73.84
40.72,-73.9
40.66,-73.75
40.72,-73.74
40.69,-73.32
40.71,-73.35
40.87,-73
40.74,-73.18
42.39,-74.39
41.74,-74.08
43.06,-73.77
43.06,-73.77
43.06,-73.77
43.08,-76.37
43.1,-75.23
43.97,-75.91
43.97,-75.91
43.97,-75.91
44.05,-75.77
43.97,-75.91
43.97,-75.91
43.98,-75.6
44.08,-75.8
44.08,-75.8
44.01,-75.74
44.32,-75.77
43.1,-77.44
42.32,-78.86
40.56,-79.75
40.51,-80.16
40.43,-79.97
39.89,-79.72
40.76,-80.05
41.64,-80.14
41.59,-79.57
40.91,-77.76
39.93,-77.65
40.17,-77.4
41.7,-75.06
41.06,-75.77
40.17,-74.91
39.95,-75.16
39.98,-75.81
40.18,-75.45
39.15,-75.51
39.15,-75.51
38.89,-77.03
38.89,-77.03
38.89,-77.03
38.89,-77.03
38.89,-77.03
38.74,-77.48
39.04,-77.48
39,-77.4
39.1,-77.55
38.64,-76.9
38.29,-76.49
38.25,-76.49
38.61,-76.61
38.59,-77.15
38.41,-76.45
38.28,-76.42
38.28,-76.42
39.09,-76.85
39.09,-76.85
38.95,-76.73
39.09,-76.85
38.73,-77
38.8,-76.99
39.08,-76.76
39.08,-76.76
39.08,-76.76
39.08,-76.76
38.98,-77.08
39.08,-77.15
39.17,-77.26
39.14,-77.21
39.01,-77.02
39.51,-76.17
39.63,-76.2
38.9,-76.54
38.9,-76.54
39.2,-76.85
39.2,-76.85
39.16,-76.6
39.16,-76.6
39.41,-76.79
39.13,-76.69
39.32,-76.87
39.3,-76.61
39.32,-76.5
39.65,-78.76
38.82,-76.28
39.42,-77.41
39.6,-76.11
38.88,-77.17
38.7,-77.14
38.94,-77.19
38.63,-77.26
38.63,-77.26
38.63,-77.26
38.87,-77.1
38.87,-77.1
38.87,-77.1
38.82,-77.08
38.82,-77.08
38.82,-77.08
38.82,-77.08
38.82,-77.08
38.04,-77.35
37.43,-76.54
37.37,-76.5
37.5,-77.63
37.44,-77.04
36.67,-76.3
36.67,-76.3
36.67,-76.3
36.67,-76.3
36.67,-76.3
36.67,-76.3
36.7,-76.63
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.73,-76.04
36.84,-76.28
36.84,-76.28
36.84,-76.28
36.84,-76.28
36.84,-76.28
36.84,-76.28
36.84,-76.28
36.84,-76.28
36.84,-76.28
37.07,-76.51
37.07,-76.51
37.07,-76.51
37.07,-76.51
37.04,-76.29
37.04,-76.29
37.04,-76.29
37.23,-76.5
37.23,-76.5
37.23,-76.5
36.83,-76.29
36.83,-76.29
37.2,-77.39
37.2,-77.39
37.37,-77.5
37.35,-77.43
37.29,-77.29
37.41,-79.87
37.78,-79.44
37.58,-79.05
37.23,-81.26
39.29,-80.25
36.1,-80.24
35.45,-79.05
35.37,-77.97
35.37,-77.97
35.65,-78.83
35.82,-78.65
35.82,-78.65
35.98,-78.91
35.98,-78.91
36.1,-77.71
35.25,-81.17
35.05,-78.87
35.05,-78.87
35.05,-78.87
35.05,-78.87
35.13,-79
35.13,-79
35.13,-79
35.13,-79
34.93,-78.72
35.05,-78.87
35.05,-78.87
35.05,-78.87
35.32,-79.25
35.27,-78.03
34.97,-79.22
35.18,-79.4
35.17,-78.98
35.17,-78.98
34.9,-76.89
34.92,-76.89
34.92,-76.89
34.76,-77.4
34.78,-76.86
35.32,-82.46
34.21,-80.97
33.56,-81.3
33.94,-80.39
33.97,-80.45
33.94,-80.39
34,-81.03
34,-81.03
34,-81.03
32.78,-79.99
32.78,-79.99
32.78,-79.99
32.78,-79.99
32.98,-79.99
32.98,-79.99
33,-80.1
32.82,-79.86
33,-80.17
33,-80.17
34.17,-79.4
32.42,-80.68
33.77,-84.29
33.95,-84.54
33.85,-84.22
34.05,-84.67
33.82,-84.64
33.24,-84.27
33.52,-84.35
33.52,-84.66
33.7,-84.43
33.51,-82.14
33.44,-82.2
33.28,-82.1
33.45,-81.99
33.45,-81.99
33.45,-81.99
33.45,-81.99
33.45,-81.99
33.45,-81.99
33.45,-81.99
33.45,-81.99
33.45,-81.99
33.45,-81.99
32.5,-83.56
32.28,-83.47
32.61,-83.63
31.87,-81.61
31.93,-81.3
32.08,-81.1
31.32,-81.53
30.79,-81.66
30.75,-81.57
30.75,-81.57
31.04,-83.07
32.51,-84.87
32.39,-84.87
32.39,-84.87
32.39,-84.87
32.39,-84.87
30.16,-81.7
30.16,-81.7
30.33,-81.65
30.33,-81.65
30.33,-81.65
30.33,-81.65
30.33,-81.65
30.33,-81.65
30.33,-81.65
30.33,-81.65
30.45,-84.28
30.17,-85.67
30.24,-85.65
30.44,-87.18
30.44,-87.18
30.44,-87.18
30.44,-87.18
30.75,-86.57
30.75,-86.57
30.46,-86.54
30.42,-86.61
30.42,-86.61
30.65,-86.88
30.41,-86.66
28.7,-81.34
28.5,-81.37
28.5,-81.37
28.5,-81.37
28.5,-81.37
28.37,-80.75
28.08,-80.6
28.08,-80.6
25.86,-80.29
25.46,-80.45
24.55,-81.78
26.14,-80.13
26.74,-80.12
26.58,-80.22
27.79,-82.29
27.95,-82.48
27.95,-82.48
27.95,-82.48
27.75,-82.64
27.59,-81.5
26.64,-81.34
26.14,-81.79
28.55,-82.39
28.3,-81.41
33.22,-86.82
33.48,-86.97
34.7,-86.74
31.7,-86.26
32.49,-86.36
32.46,-86.44
32.54,-86.2
32.54,-86.2
32.35,-86.28
32.35,-86.28
31.32,-85.84
31.32,-85.84
31.32,-85.84
30.68,-88.04
30.68,-88.04
36.56,-87.34
36.56,-87.34
36.56,-87.34
36.56,-87.34
36.56,-87.34
36.56,-87.34
35.85,-86.39
35.52,-84.79
35.1,-90
34.93,-88.51
33.99,-89.34
30.6,-89.56
30.38,-89.06
30.39,-88.88
30.39,-88.88
30.44,-88.9
37.89,-85.96
38.2,-84.26
37.12,-84.08
36.65,-87.54
36.66,-87.42
37.33,-87.5
40.02,-82.8
39.89,-82.76
39.53,-83.43
39.98,-82.98
41.52,-83.26
41.32,-81.45
41.47,-81.67
41.13,-81.86
41.02,-81.73
40.81,-81.37
41.11,-83.17
39.07,-84.18
39.09,-84.51
39.77,-84.19
39.77,-84.19
39.77,-84.19
39.77,-84.19
39.77,-84.19
38.43,-82.45
39.55,-86.08
41.42,-87.35
41.53,-87.26
42.49,-83.02
42.32,-83.34
42.46,-83.65
42.58,-83.03
42.58,-83.03
42.46,-83.37
44.66,-85.68
46.55,-87.39
42.71,-95.43
41.55,-90.6
41.55,-90.6
44.02,-88.16
43.06,-87.96
43.65,-90.33
44.26,-88.39
44.74,-93.07
44.94,-93.1
44.72,-93.43
44.96,-93.26
46.85,-92.44
44.02,-92.84
46.28,-96.06
43.59,-96.57
44.07,-103.23
46.87,-96.81
47.91,-97.07
47.9,-97.62
48.23,-101.29
47.29,-111.34
47.29,-111.34
46.51,-112.12
42.37,-87.93
42.37,-87.86
42.3,-87.85
42.07,-87.72
42.16,-88.3
41.61,-87.54
41.55,-87.66
41.7,-88.07
41.83,-87.68
38.61,-89.37
38.59,-89.91
39.93,-91.38
38.63,-90.24
37.3,-89.55
37.1,-89.91
37.38,-89.65
39.09,-94.58
38.58,-93.69
38.77,-92.25
37.67,-92.66
37.82,-92.21
39.32,-94.92
39.02,-96.84
39.02,-96.84
39.19,-96.59
39.19,-96.59
39.19,-96.59
39.19,-96.59
39.16,-96.91
37.54,-97.25
37.68,-97.34
37.62,-97.27
38.97,-97.02
41.15,-96.04
41.15,-96.04
41.15,-95.92
41.15,-95.92
41.15,-95.92
40.62,-96.63
40.81,-96.68
40.81,-96.68
29.84,-90
29.91,-90.05
30.77,-93.24
32.51,-93.6
32.51,-93.6
32.51,-93.6
31.25,-93.34
31.13,-93.27
31.13,-93.27
31.13,-93.27
33.81,-92.41
34.34,-93.31
34.96,-92.02
34.86,-92.12
34.83,-92.2
34.72,-92.35
35.65,-97.52
35.48,-97.26
35.22,-97.34
35.22,-97.34
35.46,-97.51
35.46,-97.51
35.46,-97.51
35.46,-97.51
35.46,-97.51
35.46,-97.51
35.46,-97.51
35.46,-97.51
35.46,-97.51
34.65,-98.4
34.64,-99.31
34.64,-99.31
36.03,-95.78
36.12,-95.91
32.98,-96.89
32.85,-96.96
33.04,-96.98
32.76,-96.59
32.54,-94.94
32.75,-97.33
33.89,-98.51
33.89,-98.51
33.89,-98.51
33.98,-98.5
33.98,-98.5
31.09,-97.36
31.09,-97.71
31.09,-97.71
31.09,-97.71
31.09,-97.71
31.09,-97.71
31.06,-97.65
31.06,-97.65
31.09,-97.71
31.09,-97.71
31.09,-97.71
29.76,-95.38
29.99,-95.26
29.96,-95.69
29.39,-95.83
29.53,-95.45
29.04,-95.44
30.1,-93.75
30.15,-96.39
27.53,-99.48
29.57,-98.23
29.57,-98.23
29.13,-98.15
29.55,-98.26
29.45,-98.5
29.45,-98.5
29.45,-98.5
29.45,-98.5
29.45,-98.5
29.45,-98.5
29.45,-98.5
29.45,-98.5
29.45,-98.5
27.8,-97.39
26.21,-98.23
30.08,-97.83
30.56,-97.86
30.26,-97.74
32.21,-99.79
32.45,-99.73
31.84,-106.43
31.84,-106.43
31.84,-106.43
31.84,-106.43
31.84,-106.43
31.84,-106.43
39.69,-104.81
39.54,-105
39.76,-104.87
39.73,-105.21
40.02,-105.04
40.1,-104.94
38.66,-104.69
38.99,-104.85
38.72,-104.8
38.86,-104.76
38.86,-104.76
38.86,-104.76
38.86,-104.76
38.86,-104.76
38.86,-104.76
38.86,-104.76
38.86,-104.76
38.86,-104.76
38.86,-104.76
41.14,-104.79
41.14,-104.79
45.9,-116.13
43.36,-115.52
43.05,-115.86
43.63,-116.32
40.32,-112.79
41.12,-111.98
40.29,-111.72
40.75,-111.86
41.7,-111.87
41.18,-111.91
33.72,-112.08
33.44,-111.8
33.24,-111.78
33.53,-112.26
33.53,-112.31
33.42,-112.27
32.68,-114.66
32.72,-114.51
32.68,-114.38
32.69,-114.67
33.6,-112.37
31.59,-110.17
32.17,-110.87
32.25,-110.82
32.17,-110.79
32.17,-110.79
32.29,-110.83
32.29,-110.83
34.94,-110.09
34.81,-106.73
35.11,-106.62
35.11,-106.62
35.11,-106.62
35.11,-106.62
35.11,-106.62
35.11,-106.62
35.11,-106.62
35.11,-106.62
34.41,-103.2
34.41,-103.2
34.41,-103.2
32.88,-105.95
36.09,-114.9
35.98,-115.11
36.11,-115.21
36.23,-115.05
36,-115.14
36.17,-115.31
39.49,-119.84
34.11,-118.19
34.11,-118.19
33.87,-118.37
34,-118.03
33.75,-118.07
34.15,-117.99
34.26,-118.32
34.41,-118.56
34.17,-118.61
34.4,-118.4
33.97,-117.9
34.02,-117.58
34.07,-117.62
34.08,-117.73
34.1,-118.05
34.06,-117.89
32.63,-117.05
32.61,-117.03
32.64,-116.98
32.6,-116.93
32.75,-116.99
32.78,-117.01
32.78,-117.01
32.78,-117.01
33.09,-117.27
32.77,-116.86
33.35,-117.43
33.29,-117.3
33.2,-117.29
33.2,-117.29
33.27,-117.28
33.18,-117.29
33.18,-117.29
32.85,-116.99
32.74,-117.17
32.73,-117.12
32.73,-117.08
32.73,-117.08
32.72,-117.23
32.77,-117.1
32.77,-117.18
32.77,-117.18
32.8,-117.16
32.8,-117.16
32.71,-117.05
32.76,-117.12
32.79,-117.06
32.79,-117.06
32.85,-117.2
32.88,-117.13
32.88,-117.13
32.89,-117.07
32.67,-117.11
32.67,-117.11
32.68,-117.04
32.68,-117.04
33.65,-116.27
34.13,-117.15
34.17,-117.24
33.62,-117.25
33.62,-117.25
33.47,-117.7
33.74,-117.98
33.42,-117.62
33.81,-117.82
34.33,-119.31
34.33,-119.31
34.28,-119.22
34.23,-119.07
34.23,-119.07
34.19,-119.23
34.19,-119.23
36.29,-119.82
34.6,-120.39
34.82,-120.41
34.96,-117.87
34.61,-118.27
35.55,-117.67
34.92,-118.4
34.92,-118.4
34.92,-118.4
36,-121.34
36.57,-121.83
36.57,-121.83
36.61,-121.92
36.58,-121.94
37.99,-122
37.5,-121.96
37.65,-121.85
37.98,-122.33
38.01,-121.38
38.39,-122.75
38.48,-122.9
38.48,-121.64
38.81,-121.16
38.74,-121.25
38.35,-121.93
38.61,-121.49
38.61,-121.49
38.61,-121.49
38.68,-121.34
39.15,-121.47
39.12,-121.39
39.12,-121.39
39.74,-121.83
39.08,-121.55
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
21.38,-157.92
21.38,-157.92
21.59,-158.1
21.59,-158.1
21.4,-157.73
21.4,-157.73
21.4,-157.73
21.41,-157.79
20.85,-156.32
21.5,-158.02
21.5,-158.02
21.5,-158.02
21.45,-158.01
21.45,-158.01
21.45,-158.01
21.45,-158.01
21.39,-158.01
21.3,-157.85
21.3,-157.85
21.3,-157.85
21.3,-157.85
21.3,-157.85
21.49,-158.06
13.47,144.74
45.32,-122.52
45.8,-122.97
44.63,-123.27
42.28,-122.9
42.31,-122.07
47.3,-122.31
47.39,-122.26
47.68,-122.38
47.89,-122.25
47.96,-122.19
47.9,-122.18
47.9,-122.18
48.18,-121.67
48.32,-122.63
48.32,-122.63
48.28,-122.62
47.63,-122.63
47.57,-122.75
47.72,-122.71
47.25,-122.31
47.54,-122.58
47.54,-122.58
47.46,-122.65
47.12,-122.25
47.12,-122.25
47.67,-122.72
47.29,-122.5
47.13,-122.4
47.02,-122.79
47.11,-122.76
46.87,-122.66
45.64,-122.63
47.61,-117.65
47.63,-117.55
46.17,-117.16
61.31,-149.65
61.31,-149.65
61.27,-149.79
61.19,-149.94
61.21,-149.25
64.81,-147.72
64.67,-147.04
64.93,-146.61
